Model1,Model2,U_statistic,p_value,Significant,Mean1,Mean2,Median1,Median2,N1,N2,Experiment,Discipline,Metric
Claude-3,Gemma-2,3201.0,1.1106127170618545e-05,True,0.931985502243042,0.9579411208629608,0.9508988261222839,0.9697888791561127,100,100,3,Physics,Context Consistency
Llama-3.2,Qwen-2.5,5530.0,0.19574335231857543,False,0.9185197049379349,0.911120413094759,0.9492066502571106,0.9360890090465546,100,100,3,Physics,Context Consistency
Llama-3.2,Gemma-2,3849.0,0.004936953578004825,True,0.9185197049379349,0.9579411208629608,0.9492066502571106,0.9697888791561127,100,100,3,Physics,Context Consistency
Qwen-2.5,Gemma-2,2932.0,4.378801350920859e-07,True,0.911120413094759,0.9579411208629608,0.9360890090465546,0.9697888791561127,100,100,3,Physics,Context Consistency
GPT-4,Claude-3,5613.0,0.13450369868825449,False,0.9423929429054261,0.9324936419725418,0.9497778415679932,0.9419784843921661,100,100,3,Biology,Context Consistency
GPT-4,Llama-3.2,3253.0,1.977775846404154e-05,True,0.9423929429054261,0.9583474975824356,0.9497778415679932,0.9747462272644044,100,100,3,Biology,Context Consistency
GPT-4,Qwen-2.5,5445.0,0.27744078626148483,False,0.9423929429054261,0.8923542515933514,0.9497778415679932,0.9398797452449799,100,100,3,Biology,Context Consistency
GPT-4,Gemma-2,4067.0,0.022699176931258253,False,0.9423929429054261,0.954079440832138,0.9497778415679932,0.9604533314704895,100,100,3,Biology,Context Consistency
Claude-3,Llama-3.2,2861.0,1.7397169318139884e-07,True,0.9324936419725418,0.9583474975824356,0.9419784843921661,0.9747462272644044,100,100,3,Biology,Context Consistency
Claude-3,Qwen-2.5,5000.0,1.0,False,0.9324936419725418,0.8923542515933514,0.9419784843921661,0.9398797452449799,100,100,3,Biology,Context Consistency
Claude-3,Gemma-2,3546.0,0.00038309185206010727,True,0.9324936419725418,0.954079440832138,0.9419784843921661,0.9604533314704895,100,100,3,Biology,Context Consistency
Llama-3.2,Qwen-2.5,6692.5,3.561594670772418e-05,True,0.9583474975824356,0.8923542515933514,0.9747462272644044,0.9398797452449799,100,100,3,Biology,Context Consistency
Llama-3.2,Gemma-2,5890.5,0.02965859029052289,False,0.9583474975824356,0.954079440832138,0.9747462272644044,0.9604533314704895,100,100,3,Biology,Context Consistency
Qwen-2.5,Gemma-2,3833.5,0.004385791284986251,True,0.8923542515933514,0.954079440832138,0.9398797452449799,0.9604533314704895,100,100,3,Biology,Context Consistency
GPT-4,Claude-3,6679.0,4.1096294324973784e-05,True,0.9337458461523056,0.9064390546083451,0.9428008794784546,0.9140911400318146,100,100,3,Chemistry,Context Consistency
GPT-4,Llama-3.2,4751.0,0.5437300445104135,False,0.9337458461523056,0.9271697908639908,0.9428008794784546,0.9451181292533875,100,100,3,Chemistry,Context Consistency
GPT-4,Qwen-2.5,6160.0,0.004609760448431189,True,0.9337458461523056,0.881776365339756,0.9428008794784546,0.9193803369998932,100,100,3,Chemistry,Context Consistency
GPT-4,Gemma-2,5073.0,0.8593939505753146,False,0.9337458461523056,0.9283053404092789,0.9428008794784546,0.9417722821235657,100,100,3,Chemistry,Context Consistency
Claude-3,Llama-3.2,3643.0,0.0009182129299275226,True,0.9064390546083451,0.9271697908639908,0.9140911400318146,0.9451181292533875,100,100,3,Chemistry,Context Consistency
Claude-3,Qwen-2.5,4737.0,0.5212695993616865,False,0.9064390546083451,0.881776365339756,0.9140911400318146,0.9193803369998932,100,100,3,Chemistry,Context Consistency
Claude-3,Gemma-2,3664.0,0.0011018279599971006,True,0.9064390546083451,0.9283053404092789,0.9140911400318146,0.9417722821235657,100,100,3,Chemistry,Context Consistency
Llama-3.2,Qwen-2.5,6116.0,0.0064184671203374654,False,0.9271697908639908,0.881776365339756,0.9451181292533875,0.9193803369998932,100,100,3,Chemistry,Context Consistency
Llama-3.2,Gemma-2,5237.0,0.5633576490749412,False,0.9271697908639908,0.9283053404092789,0.9451181292533875,0.9417722821235657,100,100,3,Chemistry,Context Consistency
Qwen-2.5,Gemma-2,4023.0,0.017034175379597078,False,0.881776365339756,0.9283053404092789,0.9193803369998932,0.9417722821235657,100,100,3,Chemistry,Context Consistency
GPT-4,Claude-3,6160.0,0.004609760448431189,True,0.9469578778743744,0.924581264257431,0.9550042748451233,0.9404346942901611,100,100,3,Earth Science,Context Consistency
GPT-4,Llama-3.2,3242.0,1.7526743494766056e-05,True,0.9469578778743744,0.9629362559318543,0.9550042748451233,0.9788598418235779,100,100,3,Earth Science,Context Consistency
GPT-4,Qwen-2.5,6240.0,0.002457018910068764,True,0.9469578778743744,0.8937796039879322,0.9550042748451233,0.9297624826431274,100,100,3,Earth Science,Context Consistency
GPT-4,Gemma-2,4369.0,0.12342457405407894,False,0.9469578778743744,0.9508487957715989,0.9550042748451233,0.9613260924816132,100,100,3,Earth Science,Context Consistency
Claude-3,Llama-3.2,2499.0,9.980807325852298e-10,True,0.924581264257431,0.9629362559318543,0.9404346942901611,0.9788598418235779,100,100,3,Earth Science,Context Consistency
Claude-3,Qwen-2.5,5271.0,0.5086522769839468,False,0.924581264257431,0.8937796039879322,0.9404346942901611,0.9297624826431274,100,100,3,Earth Science,Context Consistency
Claude-3,Gemma-2,3416.0,0.00010923436187290868,True,0.924581264257431,0.9508487957715989,0.9404346942901611,0.9613260924816132,100,100,3,Earth Science,Context Consistency
Llama-3.2,Qwen-2.5,7131.5,1.9202070781796134e-07,True,0.9629362559318543,0.8937796039879322,0.9788598418235779,0.9297624826431274,100,100,3,Earth Science,Context Consistency
Llama-3.2,Gemma-2,5887.5,0.03021212867942994,False,0.9629362559318543,0.9508487957715989,0.9788598418235779,0.9613260924816132,100,100,3,Earth Science,Context Consistency
Qwen-2.5,Gemma-2,3494.0,0.0002345641158282633,True,0.8937796039879322,0.9508487957715989,0.9297624826431274,0.9613260924816132,100,100,3,Earth Science,Context Consistency
GPT-4,Claude-3,4703.0,0.46878042676095766,False,0.9298923069238663,0.927958676815033,0.9394075572490692,0.9436487257480621,100,100,3,Computer Science,Context Consistency
GPT-4,Llama-3.2,3797.0,0.003301492876745084,True,0.9298923069238663,0.9416565126180649,0.9394075572490692,0.9571453928947449,100,100,3,Computer Science,Context Consistency
GPT-4,Qwen-2.5,4969.0,0.9405939534127224,False,0.9298923069238663,0.8925147753208875,0.9394075572490692,0.9398849308490753,100,100,3,Computer Science,Context Consistency
GPT-4,Gemma-2,3167.0,7.551033061289457e-06,True,0.9298923069238663,0.9499678313732147,0.9394075572490692,0.9691258668899536,100,100,3,Computer Science,Context Consistency
Claude-3,Llama-3.2,3935.0,0.009295558470425456,False,0.927958676815033,0.9416565126180649,0.9436487257480621,0.9571453928947449,100,100,3,Computer Science,Context Consistency
Claude-3,Qwen-2.5,5142.0,0.7295384754147407,False,0.927958676815033,0.8925147753208875,0.9436487257480621,0.9398849308490753,100,100,3,Computer Science,Context Consistency
Claude-3,Gemma-2,3385.0,7.984259298224425e-05,True,0.927958676815033,0.9499678313732147,0.9436487257480621,0.9691258668899536,100,100,3,Computer Science,Context Consistency
Llama-3.2,Qwen-2.5,6173.5,0.0041556647892234426,True,0.9416565126180649,0.8925147753208875,0.9571453928947449,0.9398849308490753,100,100,3,Computer Science,Context Consistency
Llama-3.2,Gemma-2,4571.5,0.29565960471385233,False,0.9416565126180649,0.9499678313732147,0.9571453928947449,0.9691258668899536,100,100,3,Computer Science,Context Consistency
Qwen-2.5,Gemma-2,3378.0,7.43274239710788e-05,True,0.8925147753208875,0.9499678313732147,0.9398849308490753,0.9691258668899536,100,100,3,Computer Science,Context Consistency
